destination,_beta_slope_OLS_low,_beta_slope_OLS_high,DFE_OLS_low,DFE_OLS_high
486,-3.7296963,-1.9056849,-4.5346012,-.66134113
487,-3.7296963,-1.9056849,-7.1291471,-3.2220695
488,-3.7296963,-1.9056849,-3.2111928,-.98078692
489,-3.7296963,-1.9056849,-5.7876654,-1.7599599
490,-3.7296963,-1.9056849,.47258365,-.073225483
491,-3.7296963,-1.9056849,-2.4779439,.17098042
492,-3.7296963,-1.9056849,-3.5709081,-.52171421
493,-3.7296963,-1.9056849,-2.9548266,.33497053
494,-3.7296963,-1.9056849,-5.1886353,-2.9369168
495,-3.7296963,-1.9056849,-8.1852894,-2.6482799
496,-3.7296963,-1.9056849,-1.3970846,.33602378
497,-3.7296963,-1.9056849,-4.0896869,-.91617429
498,-3.7296963,-1.9056849,-5.0665545,-1.1541686
499,-3.7296963,-1.9056849,-3.4356153,.37743601
500,-3.7296963,-1.9056849,4.1988239,-.77161723
501,-3.7296963,-1.9056849,-1.9460526,2.388025
503,-3.7296963,-1.9056849,-1.0677018,1.2873462
504,-3.7296963,-1.9056849,-.70957947,-1.4423313
505,-3.7296963,-1.9056849,-3.9689436,-2.546068
506,-3.7296963,-1.9056849,-7.7104006,-1.5459206
507,-3.7296963,-1.9056849,-2.1294839,1.0529943
508,-3.7296963,-1.9056849,-3.4762945,-.40768433
509,-3.7296963,-1.9056849,2.7467153,.3600224
510,-3.7296963,-1.9056849,-.65804338,1.3973862
511,-3.7296963,-1.9056849,-2.4845157,-.67178345
512,-3.7296963,-1.9056849,-.40795577,1.6666652
513,-3.7296963,-1.9056849,-.072837614,-1.2490714
514,-3.7296963,-1.9056849,-1.0803044,.95531189
515,-3.7296963,-1.9056849,-1.2840897,.057315756
516,-3.7296963,-1.9056849,-2.8657036,.54786533
517,-3.7296963,-1.9056849,-1.4143133,-1.0119035
518,-3.7296963,-1.9056849,.36049145,.79855782
519,-3.7296963,-1.9056849,-1.8238519,.1408208
520,-3.7296963,-1.9056849,-4.3680053,.69798785
521,-3.7296963,-1.9056849,-2.9189823,.79922855
522,-3.7296963,-1.9056849,-4.2627149,-1.5567319
523,-3.7296963,-1.9056849,-4.4491539,.11980021
524,-3.7296963,-1.9056849,-2.0717425,.78045923
525,-3.7296963,-1.9056849,-3.9370339,-2.9178445
526,-3.7296963,-1.9056849,-3.8464708,-.14671415
527,-3.7296963,-1.9056849,-4.921669,-1.9216568
528,-3.7296963,-1.9056849,-2.9761252,-1.3656999
529,-3.7296963,-1.9056849,-2.6262941,-.03514744
530,-3.7296963,-1.9056849,-2.0363445,.27310109
531,-3.7296963,-1.9056849,-.61686009,.67132187
532,-3.7296963,-1.9056849,-2.962487,-.39569536
533,-3.7296963,-1.9056849,-7.2259665,-3.4308643
534,-3.7296963,-1.9056849,.5315966,.17783922
535,-3.7296963,-1.9056849,-2.5029902,-.5310564
538,-3.7296963,-1.9056849,-1.862363,.74118388
539,-3.7296963,-1.9056849,-3.390008,.63190061
540,-3.7296963,-1.9056849,-5.0495639,-1.5060374
541,-3.7296963,-1.9056849,-3.0297015,-1.1150346
542,-3.7296963,-1.9056849,-2.0746233,.30467701
543,-3.7296963,-1.9056849,.75809032,-.74028939
544,-3.7296963,-1.9056849,-5.248282,-2.8868585
545,-3.7296963,-1.9056849,-1.7707826,.059359986
546,-3.7296963,-1.9056849,-4.3880973,-1.1108586
547,-3.7296963,-1.9056849,-8.7709742,.44956824
548,-3.7296963,-1.9056849,1.6980071,-1.1168357
549,-3.7296963,-1.9056849,1.7110366,.45212057
