destination,DFE_MLE_low,DFE_MLE_high,_beta_slope_low,_beta_slope_high
388,-.44244561,-1.4001561,-3.8938956,-2.099087
389,-2.9870942,1.3231996,-3.8938956,-2.099087
390,-1.8784523,-.30590862,-3.8938956,-2.099087
391,-1.5408974,.45643136,-3.8938956,-2.099087
392,-1.8029784,-.17933661,-3.8938956,-2.099087
393,-.23720637,1.4272089,-3.8938956,-2.099087
394,-2.3130558,-.14567113,-3.8938956,-2.099087
395,-.95221066,-.8402285,-3.8938956,-2.099087
396,-1.0509253,-.023546793,-3.8938956,-2.099087
397,-.57217473,.60246354,-3.8938956,-2.099087
398,-1.9437511,.0024000744,-3.8938956,-2.099087
399,-4.4806008,-.52837884,-3.8938956,-2.099087
400,-5.9280128,-1.3340274,-3.8938956,-2.099087
401,-3.6146915,-.17404111,-3.8938956,-2.099087
402,-3.8394287,-2.0165439,-3.8938956,-2.099087
403,-5.5834446,.76310736,-3.8938956,-2.099087
404,-2.0897841,-.80828607,-3.8938956,-2.099087
405,-5.749445,-3.5960288,-3.8938956,-2.099087
406,-.13729113,-.1900803,-3.8938956,-2.099087
407,-1.076946,-.057450708,-3.8938956,-2.099087
408,-1.1259304,-.1199303,-3.8938956,-2.099087
409,-1.5817187,1.0325203,-3.8938956,-2.099087
410,-1.74274,-.30638832,-3.8938956,-2.099087
411,.27010879,1.7183084,-3.8938956,-2.099087
412,-2.3981874,.30540448,-3.8938956,-2.099087
413,-1.9071884,-.47883248,-3.8938956,-2.099087
414,-4.0767159,1.7376626,-3.8938956,-2.099087
415,-12.429583,-2.1893053,-3.8938956,-2.099087
416,-2.0361304,-1.0346756,-3.8938956,-2.099087
417,-1.0925349,.43181011,-3.8938956,-2.099087
418,.96492988,1.7785102,-3.8938956,-2.099087
419,-2.8838985,-.38640368,-3.8938956,-2.099087
420,-5.792232,-1.7659531,-3.8938956,-2.099087
421,-6.0822415,.11276846,-3.8938956,-2.099087
422,-2.6687076,.14888842,-3.8938956,-2.099087
423,-5.1828499,-.78332222,-3.8938956,-2.099087
424,-4.9656801,1.0353204,-3.8938956,-2.099087
425,-2.2236474,-.71846151,-3.8938956,-2.099087
426,-1.3512076,-.29683521,-3.8938956,-2.099087
427,-2.7166426,.047561791,-3.8938956,-2.099087
428,-5.5281177,1.3936039,-3.8938956,-2.099087
429,-5.0312986,.92270029,-3.8938956,-2.099087
430,-2.3492284,-.063133419,-3.8938956,-2.099087
431,-6.1761847,.127866,-3.8938956,-2.099087
432,-.56231749,1.8173561,-3.8938956,-2.099087
433,-6.3694434,-.2831502,-3.8938956,-2.099087
434,-5.7929678,.26304913,-3.8938956,-2.099087
435,-2.1167533,1.4465469,-3.8938956,-2.099087
436,-5.9928246,.2713654,-3.8938956,-2.099087
437,-.9989723,.52941054,-3.8938956,-2.099087
438,-5.6158376,1.6359758,-3.8938956,-2.099087
439,-5.7159228,-1.6206875,-3.8938956,-2.099087
440,-5.2816954,-.791875,-3.8938956,-2.099087
441,-6.6443725,-1.0991572,-3.8938956,-2.099087
442,-5.9434299,-.65677619,-3.8938956,-2.099087
443,-2.1891785,-.0045609334,-3.8938956,-2.099087
444,-6.4389043,1.0389113,-3.8938956,-2.099087
445,-5.5480576,2.1187572,-3.8938956,-2.099087
446,-3.8527107,-1.3367764,-3.8938956,-2.099087
447,-1.3740201,-.25651371,-3.8938956,-2.099087
448,-2.037127,-.82675421,-3.8938956,-2.099087
449,-5.9909849,.019712264,-3.8938956,-2.099087
450,-5.6430354,-.66323912,-3.8938956,-2.099087
451,-5.9205751,.99726951,-3.8938956,-2.099087
452,-4.7192688,1.5837344,-3.8938956,-2.099087
453,-5.3167195,.48446122,-3.8938956,-2.099087
454,-7.4341254,-.47668913,-3.8938956,-2.099087
455,-6.2901559,1.1180879,-3.8938956,-2.099087
456,-.40576527,.33975002,-3.8938956,-2.099087
457,-5.4252248,-.43213621,-3.8938956,-2.099087
458,-3.4431744,-1.3184524,-3.8938956,-2.099087
459,-6.5982456,-3.5907001,-3.8938956,-2.099087
460,-3.3640404,-.67318773,-3.8938956,-2.099087
461,-5.1075029,-.90656316,-3.8938956,-2.099087
462,-4.448967,.71591622,-3.8938956,-2.099087
463,-2.3123517,.9583593,-3.8938956,-2.099087
464,-6.0594468,.31148678,-3.8938956,-2.099087
465,-6.1914792,-.084471017,-3.8938956,-2.099087
466,-5.9871178,1.6311913,-3.8938956,-2.099087
467,-7.1847334,-1.2301885,-3.8938956,-2.099087
468,-4.4900789,.084112749,-3.8938956,-2.099087
469,-10.269729,-4.7317829,-3.8938956,-2.099087
470,-6.857367,-.93406898,-3.8938956,-2.099087
471,-2.2535832,-.45498812,-3.8938956,-2.099087
472,-2.0637796,1.1880337,-3.8938956,-2.099087
473,-6.192008,-1.0269722,-3.8938956,-2.099087
474,-6.8115354,-1.607138,-3.8938956,-2.099087
475,-6.7786207,-1.7672068,-3.8938956,-2.099087
476,-6.4238563,-1.7656192,-3.8938956,-2.099087
477,-3.5767779,.083633542,-3.8938956,-2.099087
478,-6.4956126,-2.3719251,-3.8938956,-2.099087
479,-5.5013881,-2.1261296,-3.8938956,-2.099087
480,-2.8234537,.63884532,-3.8938956,-2.099087
481,-6.2229795,-.14984201,-3.8938956,-2.099087
482,-6.2113328,.099783249,-3.8938956,-2.099087
483,.66050905,-.79170913,-3.8938956,-2.099087
484,-5.9094963,-9.468132,-3.8938956,-2.099087
485,1.041628,1.06617,-3.8938956,-2.099087
486,-5.2953548,-.75486887,-3.8938956,-2.099087
487,-6.898241,-3.3727183,-3.8938956,-2.099087
488,-2.7037282,-.90330571,-3.8938956,-2.099087
489,-6.3015509,-1.8976595,-3.8938956,-2.099087
490,-1.5519344,1.0572536,-3.8938956,-2.099087
491,-2.1719038,.25692958,-3.8938956,-2.099087
492,-2.0823908,-.9972406,-3.8938956,-2.099087
493,-.79478323,.061361659,-3.8938956,-2.099087
494,-6.0606852,-2.6426847,-3.8938956,-2.099087
495,-8.2797031,-3.0982051,-3.8938956,-2.099087
496,-1.4190258,.56988794,-3.8938956,-2.099087
497,-4.324707,-.88268381,-3.8938956,-2.099087
498,-4.4505215,-1.3162982,-3.8938956,-2.099087
499,-1.5872282,.036164217,-3.8938956,-2.099087
500,1.2388459,.78672659,-3.8938956,-2.099087
501,-.6827293,2.1331427,-3.8938956,-2.099087
503,-3.2468934,1.5353813,-3.8938956,-2.099087
504,-2.0259879,-1.1049671,-3.8938956,-2.099087
505,-2.6938002,-2.6191652,-3.8938956,-2.099087
506,-7.8789678,-2.1355422,-3.8938956,-2.099087
507,-1.2435483,.98486185,-3.8938956,-2.099087
508,-3.2751315,-.38374659,-3.8938956,-2.099087
509,1.4608432,1.1783017,-3.8938956,-2.099087
510,-2.460644,1.7093698,-3.8938956,-2.099087
511,-2.6729228,-.41716245,-3.8938956,-2.099087
512,-5.9815564,2.0130024,-3.8938956,-2.099087
513,-2.3702614,-.18871224,-3.8938956,-2.099087
514,-3.8701465,1.2790819,-3.8938956,-2.099087
515,-2.5244544,.52239662,-3.8938956,-2.099087
516,-4.0665522,.5379166,-3.8938956,-2.099087
517,-2.5703032,-.47239888,-3.8938956,-2.099087
518,1.2455237,.60486019,-3.8938956,-2.099087
519,-1.6904145,.35580054,-3.8938956,-2.099087
520,-3.5263424,.30646229,-3.8938956,-2.099087
521,-2.0239577,.67371225,-3.8938956,-2.099087
522,-4.2152405,-1.4517353,-3.8938956,-2.099087
523,-3.1903992,-.27686357,-3.8938956,-2.099087
524,-2.0467546,.85437977,-3.8938956,-2.099087
525,-5.4487872,-2.3236945,-3.8938956,-2.099087
526,-1.854898,-.54256499,-3.8938956,-2.099087
527,-5.7618666,-1.8196328,-3.8938956,-2.099087
528,-2.4308662,-1.7376357,-3.8938956,-2.099087
529,-4.0172024,.14153591,-3.8938956,-2.099087
530,-2.0300088,.44085625,-3.8938956,-2.099087
531,-2.4135468,1.1546777,-3.8938956,-2.099087
532,-2.1943011,-.63063395,-3.8938956,-2.099087
533,-7.4198318,-3.5216625,-3.8938956,-2.099087
534,.79041821,.2690849,-3.8938956,-2.099087
