destination,DFE_logvol
203,.1699463303037003
211,-.3466574190020553
213,.1430858805627373
258,-.0805757307779342
310,-.320199805777439
347,-.2257840862070905
407,-.4002193755714126
547,-.4676593987622791
591,-.1883062266754466
612,-.1205017433721211
664,.0702275138519154
683,-.1912456124355215
692,-.1200379399982704
714,-.5651359577649361
727,-.2650848260157498
801,-.5593436022657041
814,-.258197116519722
884,-.344033332281586
889,-.7034374761882103
996,-.245664018716655
1015,-.0098137176391465
1026,-.1093902585236005
1149,-.3513769980928754
1162,.26461470024185
1275,-.1336822277646076
1300,-.2901441071266996
1411,-.0018725918322037
83,-.1851435132790219
454,-.680326159372562
791,-.4113700602703977
1013,-.8304974956683984
1063,-.2133513298429758
1075,-.719445048475801
1160,-1.066706425500547
1204,-.0169171503544139
1395,.124136234858405
105,-.3325759499218827
349,-.4416399301168383
382,-.6460328788461452
504,-.3394442843187058
537,-.0252564699068456
583,-.0819459698626887
586,-.4401135113871911
702,-.2021130874698205
720,-.3740033211857621
439,-.4861821689986076
703,-.1499391468536259
767,-.4126500282070257
772,-.608193448792356
945,-.3660477105507787
85,-.4813434331930749
152,-.1635816829978651
249,-.3681395583357905
284,-.1882074648929909
325,-.3516216202334143
377,-.6115815998064194
411,-.6289518927827815
526,-.4009492139658166
649,.3775037251062828
695,-.2403479779691825
712,-.4368436503672879
713,-.2972838785858499
726,-.3247692479621931
837,.0022115009079251
846,-.028084737996031
854,.0282733121833414
890,.2932251236347309
904,-.3458315380249209
914,.1403824548140527
936,-.1705696358431329
955,-.3286392122430983
967,-.3404151041778447
969,-.087808845040161
1000,-.2948335374322776
1045,.1400411150144049
1082,-.3578734167241405
1102,-.391852450242913
1120,-.1951622212766606
1124,-.5150069477296266
1138,-.2193479252182761
1212,-.5678017509673837
1254,.0002755726602242
1349,-.1742746415037132
1369,-.226437142396163
1372,.630145695218756
1379,.2382230421561035
1392,-.1433803108280303
1461,-.3975718983491338
1499,-.1961662387145271
1516,.1068630437149088
501,-.2094625043180147
555,-.1497721804466826
802,-.3342751688504865
844,-.6999980146148759
1034,-.2643400459135178
136,-.4765950338400912
178,-.3708121882567835
225,.0713765751094816
229,-.1186926646266426
245,-.2448400812300791
273,-.0971500008265086
346,-.4536670943443428
357,-.6093790381165417
362,-.3797360410727411
405,-.1913380857715822
457,-.6210087160588933
484,-.5357800675440821
560,.0547216046116104
568,-.0423278585104088
587,-.5340941170086915
609,.1410366062300873
655,-.4949246529239359
669,-.272532332009497
675,-.6040075655088868
707,-.3861742225318859
735,.032847655798254
737,-.4579876082052035
781,-.3398578244740022
804,.0645187683163728
807,-.343946128517537
815,-.2533508944671015
825,.3069887073347439
873,.0993527548348999
909,-.302431849682532
938,-.2196256912178273
1009,-.0547381533163704
1052,-.1331635024390325
1065,-.1979868868919827
1081,-.2603403484223253
1088,-.2919280393177901
1147,-.2526377412853514
1178,-.2303549979087461
1186,-.0305260820114619
1239,.0315087320028734
1358,-.157017053609881
475,-.3691590105025618
926,-.1916357304813546
323,-.479370174273184
361,-.5593545164713951
476,-.5765840900402154
509,-.5864948837826722
1027,-.4953857263914007
1380,-.3693816712259525
86,-.4702698725258943
1317,-.2248442445514873
129,-.4908174866425652
483,-.273342704471054
808,-.0553820748271307
993,-.3280246985257095
1382,.1377287627615308
1434,-.1755041595049596
1490,.3113529834192432
87,-.2792548652904072
115,-.4857195481688688
321,-.0442844336313663
424,-.1330803465757922
597,-.2678788226066712
598,-.5031308352627121
643,.1332052196541513
647,-.3793552643882863
719,-.027934125168554
862,.0651728436523502
